row_number,errors,data
130,"['Invalid phone number: 8103771637.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 816635.0, 'full_name': 'Nishith Mahal', 'email': 'kimaya69@yahoo.com', 'phone_number': 8103771637.0, 'city': 'Ahmedabad', 'signup_date': '31-01-2025'}"
131,"['Invalid phone number: 7864389575.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 261495.0, 'full_name': 'Pihu Tailor', 'email': 'farhan12@chandra.com', 'phone_number': 7864389575.0, 'city': 'Delhi', 'signup_date': '01-10-2023'}"
132,"['Invalid phone number: 7930216039.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 254818.0, 'full_name': 'Kartik Sane', 'email': 'dhanushdalal@kaur.net', 'phone_number': 7930216039.0, 'city': 'Bangalore', 'signup_date': '01-09-2023'}"
133,"['Email is required', 'Invalid phone number: 9617343581.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 105156.0, 'full_name': 'Bhavin Kara', 'email': '', 'phone_number': 9617343581.0, 'city': 'Chennai', 'signup_date': '04-04-2025'}"
134,"['Invalid phone number: 7088695254.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 711835.0, 'full_name': 'Aniruddh Dewan', 'email': 'samihasandhu@dani.biz', 'phone_number': 7088695254.0, 'city': 'Bangalore', 'signup_date': '02-05-2024'}"
135,"['Email is required', 'Invalid phone number: 8014201066.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 724396.0, 'full_name': 'Sana Korpal', 'email': '', 'phone_number': 8014201066.0, 'city': 'Pune', 'signup_date': '26-10-2024'}"
136,"['Email is required', 'Invalid phone number: 8523502527.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 764851.0, 'full_name': 'Damini Chana', 'email': '', 'phone_number': 8523502527.0, 'city': 'Delhi', 'signup_date': '19-09-2023'}"
137,"['Invalid phone number: 7106230885.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 838679.0, 'full_name': 'Riaan Anne', 'email': 'reyanshgaba@hotmail.com', 'phone_number': 7106230885.0, 'city': 'Bangalore', 'signup_date': '29-03-2025'}"
138,"['Email is required', 'Invalid phone number: 8515215512.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 642239.0, 'full_name': 'Armaan Anne', 'email': '', 'phone_number': 8515215512.0, 'city': 'Hyderabad', 'signup_date': '08-01-2025'}"
139,"['Invalid phone number: 7845284136.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 212002.0, 'full_name': 'Neelofar Vala', 'email': 'kanavhayre@gmail.com', 'phone_number': 7845284136.0, 'city': 'Kolkata', 'signup_date': '16-03-2025'}"
140,"['Invalid phone number: 9131620554.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 830696.0, 'full_name': 'Dishani Bala', 'email': 'pranaywable@sinha-kumar.com', 'phone_number': 9131620554.0, 'city': 'Bangalore', 'signup_date': '22-05-2024'}"
141,"['Invalid phone number: 9520294343.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 917136.0, 'full_name': 'Aaryahi Reddy', 'email': 'vanyabhatt@hotmail.com', 'phone_number': 9520294343.0, 'city': 'Hyderabad', 'signup_date': '29-10-2024'}"
142,"['Invalid phone number: 8873182736.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 778801.0, 'full_name': 'Shanaya Borde', 'email': 'azad59@srinivas-kakar.com', 'phone_number': 8873182736.0, 'city': 'Mumbai', 'signup_date': '02-09-2023'}"
143,"['Invalid phone number: 9158063990.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 831980.0, 'full_name': 'Yashvi Acharya', 'email': 'chiragchawla@yahoo.com', 'phone_number': 9158063990.0, 'city': 'Delhi', 'signup_date': '15-03-2024'}"
144,"['Email is required', 'Invalid phone number: 9718451672.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 314874.0, 'full_name': 'Drishya Rana', 'email': '', 'phone_number': 9718451672.0, 'city': 'Hyderabad', 'signup_date': '12-10-2023'}"
145,"['Email is required', 'Invalid phone number: 7593456097.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 724726.0, 'full_name': 'Urvi Kala', 'email': '', 'phone_number': 7593456097.0, 'city': 'Kolkata', 'signup_date': '12-10-2023'}"
146,"['Email is required', 'Invalid phone number: 9087553761.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 775597.0, 'full_name': 'Nitya Das', 'email': '', 'phone_number': 9087553761.0, 'city': 'Ahmedabad', 'signup_date': '30-12-2024'}"
147,"['Email is required', 'Invalid phone number: 8157814264.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 732429.0, 'full_name': 'Divyansh Bhardwaj', 'email': '', 'phone_number': 8157814264.0, 'city': 'Delhi', 'signup_date': '10-11-2023'}"
148,"['Invalid phone number: 7462458221.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 638393.0, 'full_name': 'Armaan Barad', 'email': 'aurorashanaya@yahoo.com', 'phone_number': 7462458221.0, 'city': 'Chennai', 'signup_date': '02-07-2024'}"
149,"['Invalid phone number: 9611375768.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 216585.0, 'full_name': 'Divyansh Kashyap', 'email': 'agrawalmanikya@rau-trivedi.com', 'phone_number': 9611375768.0, 'city': 'Ahmedabad', 'signup_date': '28-04-2023'}"
150,"['Invalid phone number: 9609095735.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 379633.0, 'full_name': 'Faiyaz Sani', 'email': 'qmann@hotmail.com', 'phone_number': 9609095735.0, 'city': 'Pune', 'signup_date': '27-07-2024'}"
151,"['Invalid phone number: 9510520062.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 821989.0, 'full_name': 'Kavya Dhaliwal', 'email': 'aliajayaraman@yahoo.com', 'phone_number': 9510520062.0, 'city': 'Delhi', 'signup_date': '28-09-2024'}"
152,"['Invalid phone number: 8263607515.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 867473.0, 'full_name': 'Jivin Sibal', 'email': 'pbuch@dar.org', 'phone_number': 8263607515.0, 'city': 'Delhi', 'signup_date': '17-02-2024'}"
153,"['Invalid phone number: 8126259700.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 744145.0, 'full_name': 'Prisha Jani', 'email': 'duttyuvaan@hotmail.com', 'phone_number': 8126259700.0, 'city': 'Chennai', 'signup_date': '05-07-2023'}"
154,"['Email is required', 'Invalid phone number: 9186475299.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 276828.0, 'full_name': 'Myra Sarna', 'email': '', 'phone_number': 9186475299.0, 'city': 'Delhi', 'signup_date': '09-04-2025'}"
155,"['Invalid phone number: 7594832861.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 494112.0, 'full_name': 'Krish Batta', 'email': 'aarav76@samra-hayre.net', 'phone_number': 7594832861.0, 'city': 'Delhi', 'signup_date': '08-11-2024'}"
156,"['Invalid phone number: 7116169424.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 189524.0, 'full_name': 'Neysa Sodhi', 'email': 'faiyazbanerjee@gera-kaur.com', 'phone_number': 7116169424.0, 'city': 'Kolkata', 'signup_date': '14-05-2024'}"
157,"['Invalid phone number: 7365406240.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 931885.0, 'full_name': 'Advika Mangat', 'email': 'chandermanikya@yahoo.com', 'phone_number': 7365406240.0, 'city': 'Pune', 'signup_date': '26-02-2024'}"
158,"['Invalid phone number: 7209194799.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 137770.0, 'full_name': 'Jayesh Bhandari', 'email': 'ritvikloyal@yahoo.com', 'phone_number': 7209194799.0, 'city': 'Hyderabad', 'signup_date': '12-05-2023'}"
159,"['Invalid phone number: 7202585038.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 110995.0, 'full_name': 'Mehul Balan', 'email': 'rajagopalankiara@hotmail.com', 'phone_number': 7202585038.0, 'city': 'Pune', 'signup_date': '27-03-2025'}"
160,"['Email is required', 'Invalid phone number: 8746743518.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 221004.0, 'full_name': 'Chirag Singh', 'email': '', 'phone_number': 8746743518.0, 'city': 'Pune', 'signup_date': '08-12-2024'}"
161,"['Invalid phone number: 8914214969.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 479759.0, 'full_name': 'Badal Anand', 'email': 'hchakrabarti@dar.biz', 'phone_number': 8914214969.0, 'city': 'Bangalore', 'signup_date': '28-09-2023'}"
162,"['Invalid phone number: 9766995835.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 957068.0, 'full_name': 'Keya Devan', 'email': 'ladkavya@shere-sarma.com', 'phone_number': 9766995835.0, 'city': 'Hyderabad', 'signup_date': '21-12-2024'}"
163,"['Invalid phone number: 7383465188.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 857557.0, 'full_name': 'Zeeshan Wable', 'email': 'gbobal@gmail.com', 'phone_number': 7383465188.0, 'city': 'Ahmedabad', 'signup_date': '26-03-2025'}"
164,"['Email is required', 'Invalid phone number: 7908961088.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 604055.0, 'full_name': 'Umang Arora', 'email': '', 'phone_number': 7908961088.0, 'city': 'Pune', 'signup_date': '14-07-2023'}"
165,"['Invalid phone number: 9248283582.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 433818.0, 'full_name': 'Yasmin Dora', 'email': 'aborra@dhawan.com', 'phone_number': 9248283582.0, 'city': 'Delhi', 'signup_date': '30-12-2023'}"
166,"['Email is required', 'Invalid phone number: 7663598326.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 213392.0, 'full_name': 'Raunak Kara', 'email': '', 'phone_number': 7663598326.0, 'city': 'Bangalore', 'signup_date': '01-01-2024'}"
167,"['Invalid phone number: 7491846863.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 808810.0, 'full_name': 'Alia Kapadia', 'email': 'qlall@yahoo.com', 'phone_number': 7491846863.0, 'city': 'Kolkata', 'signup_date': '16-03-2025'}"
168,"['Email is required', 'Invalid phone number: 7624319656.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 574615.0, 'full_name': 'Sahil Thaman', 'email': '', 'phone_number': 7624319656.0, 'city': 'Kolkata', 'signup_date': '26-01-2024'}"
169,"['Invalid phone number: 7369953694.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 487023.0, 'full_name': 'Zeeshan Arora', 'email': 'madhav88@bhatti.com', 'phone_number': 7369953694.0, 'city': 'Kolkata', 'signup_date': '29-03-2025'}"
170,"['Invalid phone number: 8425123235.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 712633.0, 'full_name': 'Yuvraj  Rout', 'email': 'cheriangokul@iyer.com', 'phone_number': 8425123235.0, 'city': 'Ahmedabad', 'signup_date': '08-08-2024'}"
171,"['Invalid phone number: 7347337316.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 830522.0, 'full_name': 'Yuvraj  Sinha', 'email': 'jayankhare@bobal.com', 'phone_number': 7347337316.0, 'city': 'Kolkata', 'signup_date': '24-05-2024'}"
172,"['Invalid phone number: 9328770515.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 366216.0, 'full_name': 'Miraan Handa', 'email': 'dkapadia@yahoo.com', 'phone_number': 9328770515.0, 'city': 'Ahmedabad', 'signup_date': '27-09-2023'}"
173,"['Invalid phone number: 7941991905.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 798920.0, 'full_name': 'Aaina Sengupta', 'email': 'ichoudhary@vyas.com', 'phone_number': 7941991905.0, 'city': 'Bangalore', 'signup_date': '18-10-2024'}"
174,"['Email is required', 'Invalid phone number: 7636470185.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 610165.0, 'full_name': 'Ojas Sodhi', 'email': '', 'phone_number': 7636470185.0, 'city': 'Delhi', 'signup_date': '02-04-2025'}"
175,"['Invalid phone number: 8649469945.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 951535.0, 'full_name': 'Trisha Bedi', 'email': 'dassjivin@mangat.com', 'phone_number': 8649469945.0, 'city': 'Delhi', 'signup_date': '05-05-2023'}"
176,"['Email is required', 'Invalid phone number: 9427904916.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 913410.0, 'full_name': 'Nirvi Chada', 'email': '', 'phone_number': 9427904916.0, 'city': 'Chennai', 'signup_date': '19-01-2024'}"
177,"['Invalid phone number: 8727115424.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 339825.0, 'full_name': 'Tara Ravi', 'email': 'renee43@manne-shan.com', 'phone_number': 8727115424.0, 'city': 'Kolkata', 'signup_date': '20-11-2023'}"
178,"['Invalid phone number: 9200788592.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 266772.0, 'full_name': 'Devansh Hayer', 'email': 'sommohanlal@cheema.com', 'phone_number': 9200788592.0, 'city': 'Kolkata', 'signup_date': '27-03-2025'}"
179,"['Invalid phone number: 8648736073.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 688927.0, 'full_name': 'Shayak Gandhi', 'email': 'suhanarajagopal@ramaswamy.com', 'phone_number': 8648736073.0, 'city': 'Kolkata', 'signup_date': '22-08-2024'}"
180,"['Invalid phone number: 8072751993.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 678426.0, 'full_name': 'Nakul Dalal', 'email': 'rheabhargava@hotmail.com', 'phone_number': 8072751993.0, 'city': 'Delhi', 'signup_date': '20-05-2023'}"
181,"['Email is required', 'Invalid phone number: 8869213033.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 967425.0, 'full_name': 'Prerak Swamy', 'email': '', 'phone_number': 8869213033.0, 'city': 'Hyderabad', 'signup_date': '21-08-2023'}"
182,"['Invalid phone number: 7172912311.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 181718.0, 'full_name': 'Saksham Din', 'email': 'trisha93@gmail.com', 'phone_number': 7172912311.0, 'city': 'Kolkata', 'signup_date': '28-03-2025'}"
183,"['Email is required', 'Invalid phone number: 7772310524.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 918434.0, 'full_name': 'Lavanya Bhatnagar', 'email': '', 'phone_number': 7772310524.0, 'city': 'Kolkata', 'signup_date': '29-03-2025'}"
184,"['Invalid phone number: 8799973435.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 997966.0, 'full_name': 'Inaaya  Chaudhuri', 'email': 'fthakkar@yahoo.com', 'phone_number': 8799973435.0, 'city': 'Mumbai', 'signup_date': '28-05-2024'}"
185,"['Invalid phone number: 9810415159.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 632668.0, 'full_name': 'Zoya Hayre', 'email': 'aseshadri@hotmail.com', 'phone_number': 9810415159.0, 'city': 'Ahmedabad', 'signup_date': '31-07-2024'}"
186,"['Email is required', 'Invalid phone number: 9935255719.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 276162.0, 'full_name': 'Jivika Keer', 'email': '', 'phone_number': 9935255719.0, 'city': 'Bangalore', 'signup_date': '01-07-2023'}"
187,"['Invalid phone number: 9258804475.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 127033.0, 'full_name': 'Myra Keer', 'email': 'jayaramanamani@gmail.com', 'phone_number': 9258804475.0, 'city': 'Bangalore', 'signup_date': '01-08-2023'}"
188,"['Email is required', 'Invalid phone number: 9941838209.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 967683.0, 'full_name': 'Kabir Lata', 'email': '', 'phone_number': 9941838209.0, 'city': 'Ahmedabad', 'signup_date': '28-03-2025'}"
189,"['Invalid phone number: 8950939032.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 774456.0, 'full_name': 'Nehmat Suri', 'email': 'siyabehl@hotmail.com', 'phone_number': 8950939032.0, 'city': 'Bangalore', 'signup_date': '15-07-2024'}"
190,"['Email is required', 'Invalid phone number: 9484171322.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 990834.0, 'full_name': 'Mohanlal Bora', 'email': '', 'phone_number': 9484171322.0, 'city': 'Kolkata', 'signup_date': '12-12-2023'}"
191,"['Invalid phone number: 9200745639.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 274918.0, 'full_name': 'Jivika Wadhwa', 'email': 'csagar@maharaj-saini.info', 'phone_number': 9200745639.0, 'city': 'Pune', 'signup_date': '05-09-2023'}"
192,"['Email is required', 'Invalid phone number: 8636306592.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 642260.0, 'full_name': 'Lagan Karpe', 'email': '', 'phone_number': 8636306592.0, 'city': 'Chennai', 'signup_date': '02-04-2025'}"
193,"['Email is required', 'Invalid phone number: 8038513406.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 528764.0, 'full_name': 'Elakshi Hari', 'email': '', 'phone_number': 8038513406.0, 'city': 'Kolkata', 'signup_date': '25-06-2024'}"
194,"['Invalid phone number: 9574083650.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 737800.0, 'full_name': 'Rhea Krishna', 'email': 'kanne@yahoo.com', 'phone_number': 9574083650.0, 'city': 'Kolkata', 'signup_date': '14-02-2024'}"
195,"['Invalid phone number: 8383211590.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 792740.0, 'full_name': 'Rhea Deol', 'email': 'dhanush88@gmail.com', 'phone_number': 8383211590.0, 'city': 'Hyderabad', 'signup_date': '17-03-2025'}"
196,"['Email is required', 'Invalid phone number: 9363915228.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 318191.0, 'full_name': 'Mehul Golla', 'email': '', 'phone_number': 9363915228.0, 'city': 'Bangalore', 'signup_date': '19-02-2024'}"
197,"['Invalid phone number: 8919386647.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 559470.0, 'full_name': 'Divit Chawla', 'email': 'sethalisha@sundaram.com', 'phone_number': 8919386647.0, 'city': 'Ahmedabad', 'signup_date': '18-03-2025'}"
198,"['Invalid phone number: 9578373086.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 842529.0, 'full_name': 'Gatik Kapur', 'email': 'divitjayaraman@yahoo.com', 'phone_number': 9578373086.0, 'city': 'Kolkata', 'signup_date': '17-10-2023'}"
199,"['Invalid phone number: 9322796202.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 816878.0, 'full_name': 'Anay Mani', 'email': 'mram@yahoo.com', 'phone_number': 9322796202.0, 'city': 'Ahmedabad', 'signup_date': '07-03-2025'}"
200,"['Email is required', 'Invalid phone number: 8673679421.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 524691.0, 'full_name': 'Keya Singh', 'email': '', 'phone_number': 8673679421.0, 'city': 'Chennai', 'signup_date': '31-12-2024'}"
201,"['Email is required', 'Invalid phone number: 8746818648.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 376957.0, 'full_name': 'Aarna Chacko', 'email': '', 'phone_number': 8746818648.0, 'city': 'Kolkata', 'signup_date': '02-06-2023'}"
202,"['Invalid phone number: 7825021492.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 122197.0, 'full_name': 'Yuvraj  Srinivas', 'email': 'tarini75@hotmail.com', 'phone_number': 7825021492.0, 'city': 'Hyderabad', 'signup_date': '07-01-2024'}"
203,"['Invalid phone number: 9393236358.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 715973.0, 'full_name': 'Rasha Sastry', 'email': 'avirk@hotmail.com', 'phone_number': 9393236358.0, 'city': 'Ahmedabad', 'signup_date': '12-04-2025'}"
204,"['Email is required', 'Invalid phone number: 9957649440.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 240789.0, 'full_name': 'Tara Bhakta', 'email': '', 'phone_number': 9957649440.0, 'city': 'Ahmedabad', 'signup_date': '14-05-2023'}"
